state,sum_employed
W.P. Kuala Lumpur,24906.400000000005
W.P Labuan,1064.9999999999998
W.P.Putrajaya,390.79999999999995
Johor,43534.89999999998
Kedah,23723.69999999999
Kelantan,17419.3
Melaka,10140.500000000004
Negeri Sembilan,12707.299999999997
Pahang,18308.000000000004
Penang,22929.4
Perak,29573.699999999993
Perlis,2862.5000000000014
Sabah,39727.899999999994
Sarawak,33534.299999999996
Selangor,69473.20000000001
Terengganu,12011.699999999999
